GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US420710004001,420710004001,"Block Group 1, Census Tract 4, Lancaster County, Pennsylvania",1855,423,917,425,432,117,0,10,267,276,0,10,179,170,60,146,0,10,60,146
1500000US420710004002,420710004002,"Block Group 2, Census Tract 4, Lancaster County, Pennsylvania",390,154,278,140,66,86,0,10,0,10,0,10,46,75,0,10,0,10,0,10
1500000US420710004003,420710004003,"Block Group 3, Census Tract 4, Lancaster County, Pennsylvania",1081,246,1007,241,31,42,0,10,4,14,0,10,15,24,24,44,0,10,24,44
1500000US420710004004,420710004004,"Block Group 4, Census Tract 4, Lancaster County, Pennsylvania",751,170,616,159,81,97,0,10,11,21,0,10,43,41,0,10,0,10,0,10
1500000US420710005001,420710005001,"Block Group 1, Census Tract 5, Lancaster County, Pennsylvania",1090,258,847,267,120,96,0,10,70,69,0,10,20,22,33,41,0,10,33,41
1500000US420710005002,420710005002,"Block Group 2, Census Tract 5, Lancaster County, Pennsylvania",1073,275,756,232,148,110,9,14,21,23,0,10,89,92,50,51,0,10,50,51
1500000US420710005003,420710005003,"Block Group 3, Census Tract 5, Lancaster County, Pennsylvania",767,189,551,147,37,55,0,10,52,82,0,10,89,78,38,41,0,10,38,41
1500000US420710005004,420710005004,"Block Group 4, Census Tract 5, Lancaster County, Pennsylvania",1576,281,1223,232,148,118,0,10,134,86,0,10,23,28,48,49,16,24,32,30
1500000US420710006001,420710006001,"Block Group 1, Census Tract 6, Lancaster County, Pennsylvania",574,149,496,120,15,20,0,10,39,57,0,10,0,10,24,40,0,10,24,40
1500000US420710006002,420710006002,"Block Group 2, Census Tract 6, Lancaster County, Pennsylvania",543,178,347,181,124,132,9,13,14,23,0,10,25,30,24,24,9,13,15,21
1500000US420710006003,420710006003,"Block Group 3, Census Tract 6, Lancaster County, Pennsylvania",1151,243,889,217,152,106,0,10,37,42,0,10,22,20,51,58,0,10,51,58
1500000US420710006004,420710006004,"Block Group 4, Census Tract 6, Lancaster County, Pennsylvania",750,169,517,145,101,86,0,10,11,16,0,10,81,95,40,26,10,15,30,27
1500000US420710007001,420710007001,"Block Group 1, Census Tract 7, Lancaster County, Pennsylvania",827,286,357,174,130,89,0,10,46,89,0,10,222,158,72,81,53,77,19,25
1500000US420710007002,420710007002,"Block Group 2, Census Tract 7, Lancaster County, Pennsylvania",922,280,419,134,220,148,0,10,75,112,0,10,81,95,127,157,0,10,127,157
1500000US420710007003,420710007003,"Block Group 3, Census Tract 7, Lancaster County, Pennsylvania",2640,335,1692,281,433,110,45,50,24,43,0,10,336,159,110,88,10,13,100,86
1500000US420710008001,420710008001,"Block Group 1, Census Tract 8, Lancaster County, Pennsylvania",600,203,296,115,91,58,0,10,71,77,0,10,142,142,0,10,0,10,0,10
1500000US420710008002,420710008002,"Block Group 2, Census Tract 8, Lancaster County, Pennsylvania",1105,491,225,173,139,114,0,10,6,9,0,10,683,456,52,76,20,27,32,50
1500000US420710008003,420710008003,"Block Group 3, Census Tract 8, Lancaster County, Pennsylvania",1410,361,596,288,223,176,0,10,0,10,0,10,556,354,35,54,35,54,0,10
1500000US420710008004,420710008004,"Block Group 4, Census Tract 8, Lancaster County, Pennsylvania",838,297,348,161,187,137,0,10,0,10,0,10,303,200,0,10,0,10,0,10
1500000US420710009001,420710009001,"Block Group 1, Census Tract 9, Lancaster County, Pennsylvania",643,343,152,100,361,335,0,10,39,33,0,10,91,99,0,10,0,10,0,10
1500000US420710009002,420710009002,"Block Group 2, Census Tract 9, Lancaster County, Pennsylvania",1071,336,369,193,334,161,14,22,0,10,0,10,305,244,49,45,30,36,19,29
1500000US420710009003,420710009003,"Block Group 3, Census Tract 9, Lancaster County, Pennsylvania",755,307,345,216,43,44,0,10,0,10,0,10,367,258,0,10,0,10,0,10
